目錄編號,Format,Common Name,Scientific Name,背景鳥種,Recordist,日期,Year,Month,Day,Time,Country,Country-State-County,State,County,地點,Latitude,Longitude,性別與年齡,行為,回播,Captive,Collected,Specimen ID,Home Archive Catalog Number,錄音或照相,麥克風,配件,夥伴機構,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),備註,觀察細節,Parent Species,eBird Species Code,分類類別,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
518864811,照片,黑面琵鷺,Platalea minor,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,641,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125013994,"",,,,,Platalea minor,blfspo1,Species,7611,,.00,0,,2667,4000
549705401,照片,褐翅鴉鵑,Centropus sinensis,,Chun-Chieh Liang,2023-01-01,2023,1,1,720,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023181,"",,,,,Centropus sinensis,grecou1,Species,3116,,.00,0,,4000,6000
519329091,照片,戴勝,Upupa epops,,Che-Lun Chang,2023-01-01,2023,1,1,738,Taiwan,TW-KIN,Kinmen County,,"(24.402, 118.321)",24.4021217,118.3207876,"",,Unspecified,"","",,,,,,,S125011253,"",,,,,Upupa epops,hoopoe,Species,9394,,.00,0,,3840,5760
519329211,照片,戴勝,Upupa epops,,Che-Lun Chang,2023-01-01,2023,1,1,738,Taiwan,TW-KIN,Kinmen County,,"(24.402, 118.321)",24.4021217,118.3207876,"",,Unspecified,"","",,,,,,,S125011253,"",,,,,Upupa epops,hoopoe,Species,9394,,.00,0,,3840,5760
519329241,照片,黃腰柳鶯,Phylloscopus proregulus,,Che-Lun Chang,2023-01-01,2023,1,1,738,Taiwan,TW-KIN,Kinmen County,,"(24.402, 118.321)",24.4021217,118.3207876,"",,Unspecified,"","",,,,,,,S125011253,"",,,,,Phylloscopus proregulus,palwar5,Species,24390,,.00,0,,3840,5760
620695473,照片,小桑鳲,Eophona migratoria,,Che-Lun Chang,2023-01-01,2023,1,1,738,Taiwan,TW-KIN,Kinmen County,,"(24.402, 118.321)",24.4021217,118.3207876,"",,Unspecified,"","",,,,,,,S125011253,"",,,,,Eophona migratoria,yebgro1,Species,31578,,.00,0,,3840,5760
621392385,照片,戴勝,Upupa epops,,Che-Lun Chang,2023-01-01,2023,1,1,738,Taiwan,TW-KIN,Kinmen County,,"(24.402, 118.321)",24.4021217,118.3207876,"",,Unspecified,"","",,,,,,,S125011253,"",,,,,Upupa epops,hoopoe,Species,9394,,5.00,2,,3840,5760
519861451,照片,褐翅鴉鵑,Centropus sinensis,,Kalong Huang,2023-01-01,2023,1,1,802,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125016070,"",,,,,Centropus sinensis,grecou1,Species,3116,,.00,0,,3381,5072
519861511,照片,池鷺,Ardeola bacchus,,Kalong Huang,2023-01-01,2023,1,1,802,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125016070,"",,,,,Ardeola bacchus,chpher1,Species,7482,,.00,0,,2730,4095
519835441,照片,栗背短腳鵯,Hemixos castanonotus,,志民 蘇,2023-01-01,2023,1,1,839,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼麒麟山(Kinmen--Lieyu Mountain Qilin),24.4392204,118.2543142,"",,Unspecified,"","",,,,,,,S125169105,"",,,,,Hemixos castanonotus,chebul1,Species,24104,,3.00,1,,2522,3782
519331161,照片,褐翅鴉鵑,Centropus sinensis,,Che-Lun Chang,2023-01-01,2023,1,1,914,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼全區(Kinmen--Lieyu),24.4304006,118.2463673,"",,Unspecified,"","",,,,,,,S125017375,"",,,,,Centropus sinensis,grecou1,Species,3116,,.00,0,,3840,5760
519331211,照片,褐翅鴉鵑,Centropus sinensis,,Che-Lun Chang,2023-01-01,2023,1,1,914,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼全區(Kinmen--Lieyu),24.4304006,118.2463673,"",,Unspecified,"","",,,,,,,S125017375,"",,,,,Centropus sinensis,grecou1,Species,3116,,4.00,1,,3840,5760
519331461,照片,戴勝,Upupa epops,,Che-Lun Chang,2023-01-01,2023,1,1,914,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼全區(Kinmen--Lieyu),24.4304006,118.2463673,"",,Unspecified,"","",,,,,,,S125017375,"",,,,,Upupa epops,hoopoe,Species,9394,,.00,0,,3840,5760
519329851,照片,黑鳶,Milvus migrans,,Che-Lun Chang,2023-01-01,2023,1,1,923,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023368,"",,,,,Milvus migrans,blakit1,Species,8165,,.00,0,,3840,5760
519329911,照片,玉頸鴉,Corvus pectoralis,,Che-Lun Chang,2023-01-01,2023,1,1,923,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023368,"",,,,,Corvus pectoralis,colcro1,Species,21226,,.00,0,,3840,5760
519329961,照片,翻石鷸,Arenaria interpres,,Che-Lun Chang,2023-01-01,2023,1,1,923,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023368,"",,,,,Arenaria interpres,rudtur,Species,6125,,.00,0,,3840,5760
519329991,照片,灰斑鴴,Pluvialis squatarola,,Che-Lun Chang,2023-01-01,2023,1,1,923,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023368,"",,,,,Pluvialis squatarola,bkbplo,Species,5782,,.00,0,,3840,5760
519330701,照片,灰頭黑臉鵐,Emberiza spodocephala,,Che-Lun Chang,2023-01-01,2023,1,1,923,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023368,"",,,,,Emberiza spodocephala,bkfbun1,Species,32306,,.00,0,,3840,5760
519330871,照片,攀雀,Remiz consobrinus,,Che-Lun Chang,2023-01-01,2023,1,1,923,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023368,"",,,,在蘆葦叢中有照片,Remiz consobrinus,chptit1,Species,21898,,4.00,2,,2882,4595
519330981,照片,蒼翡翠,Halcyon smyrnensis,,Che-Lun Chang,2023-01-01,2023,1,1,923,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023368,"",,,,,Halcyon smyrnensis,whtkin2,Species,9795,,.00,0,,3840,5760
520243391,照片,灰背鶇,Turdus hortulorum,,Rui-Yang Ho,2023-01-01,2023,1,1,935,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125293794,"",,,,,Turdus hortulorum,gybthr1,Species,28199,,3.67,3,,3193,5190
543276301,照片,灰背鶇,Turdus hortulorum,,毓恩(Yu-En) 林(Lin),2023-01-01,2023,1,1,935,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125150461,"",,,,,Turdus hortulorum,gybthr1,Species,28199,,.00,0,,2160,2942
520956991,照片,葦鵐,Emberiza pallasi,,重融 黃,2023-01-01,2023,1,1,943,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125023409,"",,,,照片後補,Emberiza pallasi,palbun,Species,32272,,2.00,2,,3391,5083
549705421,照片,黃尾鴝,Phoenicurus auroreus,,Chun-Chieh Liang,2023-01-01,2023,1,1,1020,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼麒麟山(Kinmen--Lieyu Mountain Qilin),24.4392204,118.2543142,"",,Unspecified,"","",,,,,,,S131829206,"",,,,,Phoenicurus auroreus,daured1,Species,29129,,.00,0,,4000,6000
606427641,照片,小水鴨,Anas crecca,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Anas crecca,gnwtea,Species,574,,3.00,1,,4640,6960
606427751,照片,白斑紫嘯鶇(黑嘴),Myophonus caeruleus caeruleus,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Myophonus caeruleus,bluwht1,群(Group),28931,,3.00,1,,4640,6960
606427831,照片,白斑紫嘯鶇(黑嘴),Myophonus caeruleus caeruleus,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Myophonus caeruleus,bluwht1,群(Group),28931,,1.00,1,,3136,4704
606427871,照片,中國黑鶇,Turdus mandarinus,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Turdus mandarinus,chibla1,Species,28060,,4.50,2,,4640,6960
606427911,照片,白氏地鶇,Zoothera aurea,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Zoothera aurea,scathr2,Species,27748,,3.00,1,,4640,6960
606428021,照片,樹鷚,Anthus hodgsoni,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Anthus hodgsoni,olbpip,Species,31340,,2.00,1,,3362,5044
606428031,照片,樹鷚,Anthus hodgsoni,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Anthus hodgsoni,olbpip,Species,31340,,4.50,2,,3667,5501
606428081,照片,白腹鶇,Turdus pallidus,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Turdus pallidus,palthr1,Species,28210,,3.50,2,,4640,6960
606428221,照片,樹鷚,Anthus hodgsoni,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Anthus hodgsoni,olbpip,Species,31340,,3.00,1,,4640,6960
606428351,照片,黃尾鴝,Phoenicurus auroreus,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Phoenicurus auroreus,daured1,Species,29129,,4.50,2,,3596,5394
606428471,照片,東方鵟,Buteo japonicus,,HsuehHung Chang,2023-01-01,2023,1,1,1027,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125026732,"",,,,,Buteo japonicus,combuz6,Species,8352,,2.00,1,,3854,5781
519861571,照片,白斑紫嘯鶇,Myophonus caeruleus,,Kalong Huang,2023-01-01,2023,1,1,1052,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陽山公園(Kinmen--Lieyu Yangshan Park),24.4247333,118.2420983,"",,Unspecified,"","",,,,,,,S125022027,"",,,,,Myophonus caeruleus,blwthr1,Species,28930,,.00,0,,2639,3958
519835991,照片,棕背伯勞(schach),Lanius schach schach,,志民 蘇,2023-01-01,2023,1,1,1239,Taiwan,TW-KIN,Kinmen County,,"Auto selected 24.46801, 118.40370",24.4680110,118.4036990,"",,Unspecified,"","",,,,,,,S125168185,"",,,,,Lanius schach,lotshr3,群(Group),20666,,.00,0,,1174,1761
519836071,照片,藍尾鴝,Tarsiger cyanurus,,志民 蘇,2023-01-01,2023,1,1,1245,Taiwan,TW-KIN,Kinmen County,,金門--斗門登山古道(Kinmen--Doumen Hiking Trail),24.4648765,118.4084203,"",,Unspecified,"","",,,,,,,S125167990,"",,,,,Tarsiger cyanurus,refblu,Species,28984,,.00,0,,1357,2035
519836081,照片,藍尾鴝,Tarsiger cyanurus,,志民 蘇,2023-01-01,2023,1,1,1245,Taiwan,TW-KIN,Kinmen County,,金門--斗門登山古道(Kinmen--Doumen Hiking Trail),24.4648765,118.4084203,"",,Unspecified,"","",,,,,,,S125167990,"",,,,,Tarsiger cyanurus,refblu,Species,28984,,.00,0,,1116,1674
519861661,照片,黃尾鴝,Phoenicurus auroreus,,Kalong Huang,2023-01-01,2023,1,1,1245,Taiwan,TW-KIN,Kinmen County,,金門--金沙田墩海堤(Kinmen--Jinsha Tiandun Embankment),24.5027892,118.3938003,"",,Unspecified,"","",,,,,,,S125034852,"",,,,,Phoenicurus auroreus,daured1,Species,29129,,.00,0,,3411,5120
519861671,照片,黃尾鴝,Phoenicurus auroreus,,Kalong Huang,2023-01-01,2023,1,1,1245,Taiwan,TW-KIN,Kinmen County,,金門--金沙田墩海堤(Kinmen--Jinsha Tiandun Embankment),24.5027892,118.3938003,"",,Unspecified,"","",,,,,,,S125034852,"",,,,,Phoenicurus auroreus,daured1,Species,29129,,.00,0,,3411,5120
518864741,照片,遊隼,Falco peregrinus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1303,Taiwan,TW-KIN,Kinmen County,,金門--金城燕南書院(Kinmen--Jincheng Yannan Academy),24.4067192,118.3137491,"",,Unspecified,"","",,,,,,,S125026455,"",,,,,Falco peregrinus,perfal,Species,11875,,.00,0,,1411,2117
520156481,照片,太平洋金斑鴴,Pluvialis fulva,,Tahic Kolas,2023-01-01,2023,1,1,1310,Taiwan,TW-KIN,Kinmen County,,金門--建功嶼(Kinmen--Jiangong Islet),24.4274360,118.3000731,"",,Unspecified,"","",,,,,,,S125363054,"",,,,,Pluvialis fulva,pagplo,Species,5787,,.00,0,,3456,5184
520156781,照片,青足鷸,Tringa nebularia,,Tahic Kolas,2023-01-01,2023,1,1,1310,Taiwan,TW-KIN,Kinmen County,,金門--建功嶼(Kinmen--Jiangong Islet),24.4274360,118.3000731,"",,Unspecified,"","",,,,,,,S125363054,"",,,,,Tringa nebularia,comgre,Species,6116,,4.00,1,,3456,5184
519861751,照片,環頸雉,Phasianus colchicus,,Kalong Huang,2023-01-01,2023,1,1,1319,Taiwan,TW-KIN,Kinmen County,,金門--斗門登山古道(Kinmen--Doumen Hiking Trail),24.4648765,118.4084203,"",,Unspecified,"","",,,,,,,S125034851,"",,,,,Phasianus colchicus,rinphe1,Species,1420,,4.00,1,,4096,6144
519861771,照片,東方鵟,Buteo japonicus,,Kalong Huang,2023-01-01,2023,1,1,1319,Taiwan,TW-KIN,Kinmen County,,金門--斗門登山古道(Kinmen--Doumen Hiking Trail),24.4648765,118.4084203,"",,Unspecified,"","",,,,,,,S125034851,"",,,,,Buteo japonicus,combuz6,Species,8352,,.00,0,,2893,4340
554504861,照片,白斑紫嘯鶇,Myophonus caeruleus,,Chun-Chieh Liang,2023-01-01,2023,1,1,1324,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125029192,"",,,,,Myophonus caeruleus,blwthr1,Species,28930,,.00,0,,4000,6000
554504881,照片,灰背鶇,Turdus hortulorum,,Chun-Chieh Liang,2023-01-01,2023,1,1,1324,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125029192,"",,,,,Turdus hortulorum,gybthr1,Species,28199,,.00,0,,4000,6000
554504891,照片,叉尾太陽鳥,Aethopyga christinae,,Chun-Chieh Liang,2023-01-01,2023,1,1,1324,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125029192,"",,,,,Aethopyga christinae,fotsun1,Species,30048,,3.00,1,,4000,6000
606428991,照片,棕背伯勞,Lanius schach,,HsuehHung Chang,2023-01-01,2023,1,1,1326,Taiwan,TW-KIN,Kinmen County,,"Auto selected 24.47436, 118.41240",24.4743610,118.4123990,"",,Unspecified,"","",,,,,,,S125026699,"",,,,,Lanius schach,lotshr1,Species,20662,,.00,0,,3325,4987
606429031,照片,環頸雉,Phasianus colchicus,,HsuehHung Chang,2023-01-01,2023,1,1,1326,Taiwan,TW-KIN,Kinmen County,,"Auto selected 24.47436, 118.41240",24.4743610,118.4123990,"",,Unspecified,"","",,,,,,,S125026699,"",,,,,Phasianus colchicus,rinphe1,Species,1420,,2.00,2,,4640,6960
606429101,照片,戴勝,Upupa epops,,HsuehHung Chang,2023-01-01,2023,1,1,1326,Taiwan,TW-KIN,Kinmen County,,"Auto selected 24.47436, 118.41240",24.4743610,118.4123990,"",,Unspecified,"","",,,,,,,S125026699,"",,,,,Upupa epops,hoopoe,Species,9394,,1.00,1,,4640,6960
518864381,照片,褐色柳鶯,Phylloscopus fuscatus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,,Phylloscopus fuscatus,duswar,Species,24410,,3.50,2,,1241,1862
518864411,照片,褐色柳鶯,Phylloscopus fuscatus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,,Phylloscopus fuscatus,duswar,Species,24410,,3.00,1,,1161,1741
518864441,照片,黃尾鴝,Phoenicurus auroreus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,,Phoenicurus auroreus,daured1,Species,29129,,.00,0,,2974,4461
518864461,照片,鉛色水鶇,Phoenicurus fuliginosus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,M,Phoenicurus fuliginosus,plured1,Species,29100,,.00,0,,2460,3690
518864481,照片,鉛色水鶇,Phoenicurus fuliginosus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,M,Phoenicurus fuliginosus,plured1,Species,29100,,.00,0,,2668,4000
518864491,照片,鉛色水鶇,Phoenicurus fuliginosus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,M,Phoenicurus fuliginosus,plured1,Species,29100,,.00,0,,2667,4000
518864671,照片,絲光椋鳥,Spodiopsar sericeus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,,Spodiopsar sericeus,rebsta1,Species,27400,,.00,0,,2667,4000
518864681,照片,絲光椋鳥,Spodiopsar sericeus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,,Spodiopsar sericeus,rebsta1,Species,27400,,.00,0,,2667,4000
518864691,照片,絲光椋鳥,Spodiopsar sericeus,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,1330,Taiwan,TW-KIN,Kinmen County,,金門--金城水頭聚落(Kinmen--Jincheng Shuitou Village),24.4097740,118.2977390,"",,Unspecified,"","",,,,,,,S125027215,"",,,,,Spodiopsar sericeus,rebsta1,Species,27400,,.00,0,,2667,4000
519836211,照片,斑點鶇,Turdus eunomus,,志民 蘇,2023-01-01,2023,1,1,1335,Taiwan,TW-KIN,Kinmen County,,金門--農業試驗所(Kinmen--Agricultural Research Institute),24.4476819,118.4503037,"",,Unspecified,"","",,,,,,,S125168022,"",,,,,Turdus eunomus,dusthr2,Species,28285,,.00,0,,1762,2643
519836221,照片,大花鷚,Anthus richardi,,志民 蘇,2023-01-01,2023,1,1,1335,Taiwan,TW-KIN,Kinmen County,,金門--農業試驗所(Kinmen--Agricultural Research Institute),24.4476819,118.4503037,"",,Unspecified,"","",,,,,,,S125168022,"",,,,,Anthus richardi,ricpip1,Species,31231,,3.00,1,,2409,3614
519836791,照片,戴勝,Upupa epops,,志民 蘇,2023-01-01,2023,1,1,1335,Taiwan,TW-KIN,Kinmen County,,金門--農業試驗所(Kinmen--Agricultural Research Institute),24.4476819,118.4503037,"","",Unspecified,"","",,,,,,,S125168022,"",,,,,Upupa epops,hoopoe,Species,9394,,.00,0,Field notes/sketch,2824,4236
519861841,照片,白氏地鶇,Zoothera aurea,,Kalong Huang,2023-01-01,2023,1,1,1346,Taiwan,TW-KIN,Kinmen County,,金門--金門植物園(Kinmen--Botanical Garden),24.4546540,118.3974132,"",,Unspecified,"","",,,,,,,S125034856,"",,,,,Zoothera aurea,scathr2,Species,27748,,.00,0,,2730,4095
